simulation_step,half_step,date,medicine_id,medicine_name,starting_stock,reorder_point,target_stock,safety_stock,received_replenishment,scenario_demand,ending_stock,lost_sales,reorder,order_placed
1,1,2026-01-01,MED001,Crocin 650 mg,340.0,297.89,847.63,23.03,0.0,247.0,93.0,0.0,True,754.63
1,1,2026-01-01,MED002,Brufen 400 Tablet,420.0,400.14,1127.59,36.41,0.0,311.0,109.0,0.0,True,1018.59
1,1,2026-01-01,MED003,Amoxicillin 500 mg,180.0,167.44,473.63,14.34,0.0,141.0,39.0,0.0,True,434.63
1,1,2026-01-01,MED004,Cetirizine 10 mg,95.0,61.34,173.5,5.26,0.0,57.0,38.0,0.0,True,135.5
1,1,2026-01-01,MED005,Azithral 500 Tablet,290.0,283.91,806.78,22.48,0.0,241.0,49.0,0.0,True,757.78
1,1,2026-01-01,MED006,Metformin 500 mg tablet,150.0,175.82,469.78,28.85,0.0,117.0,33.0,0.0,True,436.78
1,1,2026-01-01,MED007,Omeprazole 20 mg,130.0,83.82,204.13,23.66,0.0,48.5,81.5,0.0,True,122.63
1,1,2026-01-01,MED008,Atorvastatin 10 mg,260.0,266.51,740.54,29.5,0.0,234.0,26.0,0.0,True,714.54
1,1,2026-01-01,MED009,Amloheal 5mg tablet,360.0,351.38,999.53,27.3,0.0,299.5,60.5,0.0,True,939.03
1,1,2026-01-01,MED010,Losar 50 Tablet,175.0,142.47,368.69,29.37,0.0,80.0,95.0,0.0,True,273.69
1,1,2026-01-01,MED011,Levothyrox50 mcg,600.0,544.99,1542.88,46.05,0.0,437.5,162.5,0.0,True,1380.38
1,1,2026-01-01,MED012,Pantop-D Capsule,240.0,223.46,620.55,24.92,0.0,189.0,51.0,0.0,True,569.55
1,1,2026-01-01,MED013,Rosuvastatin 10 mg,710.0,610.69,1746.96,42.55,0.0,511.0,199.0,0.0,True,1547.96
1,1,2026-01-01,MED014,Montek-10,310.0,321.15,905.53,28.95,0.0,254.5,55.5,0.0,True,850.03
