productID,pharmaID,batchCode,medicineName,composition,description,category,prescriptionRequired,manufacturer,quantity,mrpWithDiscount,price,pricePerUnit,unitsAvailable,threshold,storageCondition,manufacturedDate,expiryDate,status,lastUpdated
PRD0001,PH001,ALMO-0625,Almox 500 Capsule,Amoxicillin (500mg),"Almox 500 Capsule is a broad-spectrum antibiotic (amoxicillin) used to treat various bacterial infections, including infections of the throat, lungs, urinary tract, skin, stomach, and intestines. It also helps eliminate H. pylori in peptic ulcer disease.

It works by stopping bacteria from forming their protective cell wall, which kills the bacteria and stops infection growth.

Common side effects: Nausea, vomiting, diarrhea, and skin rash.
Usage: Take as prescribed by your doctor and complete the full course, even if you feel better.",Prescription Medicines,Yes,Alkem Laboratories Ltd,15.0 capsules in 1 strip,MRP?117.85  28% OFF,85,0,25,15,Store below 25°C,13-09-2024,12-09-2026,AVAILABLE,27-01-2026
PRD0002,PH001,AZIC-0126,Azicip 500 Tablet,Azithromycin (500mg),"Azicip 500 Tablet (Azithromycin) is a broad-spectrum antibiotic used to treat bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, eye, typhoid fever, and some sexually transmitted diseases like gonorrhea.

It works by stopping bacteria from producing essential proteins needed for growth, helping to clear the infection.

Common side effects: Diarrhea, nausea, vomiting, and stomach pain.
Usage: Take as prescribed, at a fixed time, and complete the full course even if symptoms improve.",Prescription Medicines,Yes,Cipla Ltd,3.0 tablets in 1 strip,MRP?75.53  20% OFF,61,0,30,15,Store below 25°C,20-07-2024,19-07-2026,AVAILABLE,27-01-2026
PRD0003,PH001,TAXI-0826,Taxim-O 200 Tablet,Cefixime (200mg),"Taxim-O 200 Tablet (Cefixime) is an antibiotic used to treat bacterial infections of the respiratory tract, urinary tract, ear, throat, nasal sinuses, and some sexually transmitted diseases.

It works by preventing bacteria from forming their protective cell wall, which kills the bacteria and stops the infection from spreading.

Common side effects: Nausea, stomach pain, indigestion, and diarrhea.
Usage: Take as prescribed by your doctor and complete the full course to prevent infection recurrence.",Prescription Medicines,Yes,Alkem Laboratories Ltd,10.0 tablets in 1 strip,MRP?104.43  2% OFF,102,0,32,15,Store below 25°C,26-09-2025,25-09-2027,AVAILABLE,27-01-2026
PRD0004,PH001,OKAM-0325,Okamet 500 Tablet,Metformin (500mg),"Okamet 500 Tablet (Metformin) is an anti-diabetic medicine used to manage type 2 diabetes mellitus by controlling blood sugar levels. It is also used to treat Polycystic Ovary Syndrome (PCOS) by improving insulin sensitivity and helping regulate menstrual cycles.

It works by reducing glucose production in the liver, slowing sugar absorption in the intestines, and improving the body’s response to insulin.

Common side effects: Diarrhea, nausea, vomiting, headache, and abdominal discomfort.
Usage: Take with food as prescribed by your doctor, along with a healthy diet and regular exercise.",Prescription Medicines,Yes,Cipla Ltd,20.0 tablets in 1 strip,MRP?26.33  22% OFF,21,0,29,15,Store below 25°C,09-09-2024,08-03-2026,EXPIRING_SOON,27-01-2026
PRD0005,PH001,TELM-0325,Telma 40 Tablet,Telmisartan (40mg),"Telma 40 Tablet (Telmisartan) is used to treat high blood pressure (hypertension) and heart failure, and to reduce the risk of heart attack and stroke. It also helps protect kidney function in patients with diabetes.

It works by relaxing blood vessels, allowing blood to flow more easily and lowering blood pressure.

Common side effects: Diarrhea, back pain, sinus inflammation, and skin ulcers.
Usage: Take once daily at the same time, with or without food, as prescribed by your doctor.",Prescription Medicines,Yes,Glenmark Pharmaceuticals Ltd,30.0 tablets in 1 strip,MRP?212.9  2% OFF,209,0,25,15,Store below 25°C,18-10-2024,17-04-2026,EXPIRING_SOON,27-01-2026
PRD0006,PH001,AMLI-1026,AMlip 5 Tablet,Amlodipine (5mg),"AMlip 5 Tablet (Amlodipine) is a calcium channel blocker used to treat high blood pressure (hypertension) and angina (heart-related chest pain). It helps prevent heart attacks and strokes by lowering blood pressure and reducing the heart’s workload.

It works by relaxing blood vessels, improving blood flow, and reducing strain on the heart.

Common side effects: Headache, fatigue, nausea, abdominal pain, sleepiness, and swelling (edema).
Usage: Take once daily at the same time, with or without food, as prescribed by your doctor.",Prescription Medicines,Yes,Cipla Ltd,10.0 tablets in 1 strip,MRP?26.66  34% OFF,17.5,0,40,15,Store below 25°C,24-03-2025,23-03-2027,AVAILABLE,27-01-2026
PRD0007,PH001,LOSA-0727,Losar 50 Tablet,Losartan (50mg),"Losar 50 Tablet (Losartan) is used to treat high blood pressure and heart failure, and to reduce the risk of heart attack and stroke. It also helps protect kidney function in diabetic patients.

It works by relaxing blood vessels, improving blood flow, and lowering blood pressure.

Common side effects: Dizziness, low blood pressure, and increased potassium levels.
Usage: Take once daily at the same time, with or without food, as prescribed by your doctor.",Prescription Medicines,Yes,Torrent Pharmaceuticals Ltd,15.0 tablets in 1 strip,MRP?162.25  2% OFF,159,0,24,15,Store below 25°C,01-10-2025,30-09-2027,AVAILABLE,27-01-2026
PRD0008,PH001,LIPV-0725,LipVAS 20 Tablet,Atorvastatin (20mg),"LipVAS 20 Tablet (Atorvastatin) is a statin used to lower cholesterol and triglycerides and reduce the risk of heart attack and stroke.

It works by blocking cholesterol production in the liver, lowering bad cholesterol (LDL) and increasing good cholesterol (HDL).

Common side effects: Indigestion, diarrhea, nausea, and muscle or joint pain.
Usage: Take once daily at the same time, with or without food, as prescribed by your doctor.",Prescription Medicines,Yes,Cipla Ltd,10.0 tablets in 1 strip,MRP?134.18  46% OFF,72,0,2,15,Store below 25°C,29-12-2023,28-12-2025,EXPIRED,09-12-2025
PRD0009,PH001,PANT-1026,Pantop-D Capsule,Domperidone (10mg) + Pantoprazole (20mg),"Pantop-D Capsule (Pantoprazole + Domperidone) is used to treat acid reflux (GERD), gastritis, ulcers, and indigestion. It reduces stomach acid and improves digestion by helping the stomach empty faster.

Common side effect: Dry mouth, headache, nausea.
Usage: Take once daily before food, as prescribed by your doctor.",Prescription Medicines,Yes,Aristo Pharmaceuticals Pvt Ltd,15.0 capsules in 1 strip,MRP?182.8  2% OFF,179,0,15,15,Store below 25°C,24-10-2024,23-10-2026,AVAILABLE,27-01-2026
PRD0010,PH001,LEVO-0925,Levoquin 500mg Tablet,Levofloxacin (500mg),"Levoquin 500 mg Tablet (Levofloxacin) is an antibiotic used to treat bacterial infections of the lungs (pneumonia), urinary tract, nose, throat, skin, and soft tissues.

It works by stopping bacterial DNA replication, which kills the bacteria and stops infection spread.

Common side effects: Headache, dizziness, nausea, constipation, and diarrhea.
Usage: Take once daily at a fixed time, avoid dairy products, and complete the full prescribed course.",Prescription Medicines,Yes,Cipla Ltd,5.0 tablets in 1 strip,MRP?47.19  29% OFF,33.5,0,0,15,Store below 30°C,17-12-2023,16-12-2025,OUT_OF_STOCK,27-10-2025
